Customer_ID,Product_ID,Staff_ID,Date,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales,ProductName,CustomerName,CustomerAddress,Customer_PhoneNumber,CustomerEmail,Staff_Name,Staff_Email
10,2,10,2023-01-01 10:00:00,3,17.30018943679034,South,Online,False,Cloudy,27.154342182681738,Good,Neutral,42,In Store,Sunday,51.90056831037102,Chocolate Cake,Collin Ward,"52686 Becky Islands
Abigailfurt, NE 86929",391-479-3624,Unknown,Nicole Kane DDS,jlopez@example.net
11,3,11,2023-01-01 11:00:00,4,15.423235605139388,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,Sunday,61.69294242055755,Carrot Cake,Laura Hughes,"054 Alyssa Mill
Lake Alexis, MT 13214",+1-981-260-7807,nicolaslopez@example.org,Edgar White,laura24@example.org
12,6,12,2023-01-01 12:00:00,4,12.9873904915572,East,Online,True,Sunny,26.238704814462643,Poor,Positive,19,Online Order,Sunday,51.9495619662288,Pizza Beef Double decker,Amber Warren,"77320 Kelly Turnpike
Wilsonside, MA 57592",932.415.9074x319,brittney37@example.net,Jacob Schroeder,bescobar@example.com
13,7,13,2023-01-01 13:00:00,2,11.732796075120625,East,Credit Card,False,Cloudy,30.805000537489896,Good,Negative,56,Phone Order,Sunday,23.46559215024125,Cheesecake,Amanda Ellis,"USNV Riley
FPO AA 14148",420-731-2185,steven36@example.net,Chad Patterson,byrderic@example.net
14,4,14,2023-01-01 14:00:00,1,6.265885708168135,East,Cash,False,Cloudy,33.77427553069937,Good,Positive,36,Phone Order,Sunday,6.265885708168135,Pizza Pepperoni,Samantha Reynolds,"PSC 9615, Box 1463
APO AP 20309",001-966-301-3601x51483,lindasosa@example.com,Donna Weiss,zreynolds@example.com
15,2,15,2023-01-01 15:00:00,2,10.990531225920364,West,Cash,True,Rainy,26.12060692404225,Good,Neutral,50,Phone Order,Sunday,21.981062451840728,Chocolate Cake,Nicole Torres,"496 Calderon Parkway Apt. 220
Port Joshua, HI 80224",547-514-7610x84867,davisjoy@example.net,Amy Lopez,matthewpotter@example.net
16,6,16,2023-01-01 16:00:00,3,18.65201955173201,South,Credit Card,False,Rainy,22.86916056556096,Excellent,Negative,27,In Store,Sunday,55.956058655196045,Pizza Beef Double decker,Casey Sawyer,"4059 Martha Spring
Markton, NC 56321",5614632938,raymondrobert@example.net,Ryan Carter,cartertyler@example.org
17,0,17,2023-01-01 17:00:00,4,17.120339448598294,North,Cash,False,Rainy,27.75676896285379,Excellent,Positive,15,Phone Order,Sunday,68.48135779439318,Vanilla Cake,Candice Lynn,"4472 Stein Drive
Hansenville, ID 74427",+1-554-749-5430x97120,pattersonjerry@example.net,Kenneth Gonzalez,jon97@example.net
18,3,18,2023-01-01 18:00:00,2,8.240770475175308,South,Credit Card,True,Cloudy,33.62125530589782,Poor,Positive,30,In Store,Sunday,16.481540950350617,Carrot Cake,Joshua Hernandez,"029 Teresa Shores Suite 231
Adamton, ID 46705",(502)880-2602,martinchristopher@example.com,John James,fernandezheather@example.net
19,3,19,2023-01-01 19:00:00,1,11.999116770458238,West,Cash,True,Rainy,32.06561621206551,Poor,Positive,55,Online Order,Sunday,11.999116770458238,Carrot Cake,Randall Duncan,"33737 Lloyd Corner
South Bobbyton, VT 96254",(306)878-3107x464,willie19@example.com,Brent Parker,Unknown
20,1,20,2023-01-01 20:00:00,2,17.25084803837817,West,Online,False,Sunny,20.987447650447308,Poor,Positive,36,Phone Order,Sunday,34.50169607675634,Red Velvet Cake,David Browning,"01334 Curry Roads Apt. 102
Denisefort, FM 93551",(989)808-0932x57119,wilsonwilliam@example.net,Jacob Medina,rebeccabrown@example.com
21,6,21,2023-01-01 21:00:00,5,6.010768321782837,North,Cash,False,Rainy,30.38859200116373,Average,Unknown,46,In Store,Sunday,30.053841608914187,Pizza Beef Double decker,Andrea Miles,"USS Roberts
FPO AE 36880",+1-726-418-7385,zreyes@example.com,Blake Ramirez,Unknown
22,1,22,2023-01-01 22:00:00,1,10.810888785029888,West,Credit Card,True,Rainy,28.578462836884302,Good,Positive,30,Phone Order,Sunday,10.810888785029888,Red Velvet Cake,Brian Richards,"4788 Karen Lodge Suite 745
South Alexandrafort, ND 91947",(277)713-5055,macosta@example.com,Barbara Campbell,wjohnson@example.com
23,5,23,2023-01-01 23:00:00,3,17.777618553109214,East,Credit Card,True,Cloudy,33.61194764519638,Poor,Neutral,29,Phone Order,Sunday,53.33285565932764,Pizza Margherita,Steven Reyes,"69646 Timothy Inlet Apt. 409
New Christina, NJ 81647",469-922-4394x0246,danielhines@example.net,Mary Mcgee,victoria48@example.com
24,1,24,2023-01-02 00:00:00,4,11.058467962551855,East,Online,False,Rainy,21.837221252754457,Good,Neutral,56,Online Order,Monday,44.23387185020742,Red Velvet Cake,Jay Perez,"181 Rogers Plains
West Jessica, OR 09432",575.399.1973,stacie15@example.net,Kenneth Vega,jwang@example.com
25,5,25,2023-01-02 01:00:00,2,6.1642196709716135,East,Credit Card,False,Cloudy,28.01054169806985,Excellent,Neutral,26,Phone Order,Monday,12.328439341943229,Pizza Margherita,Cory Gonzales,"61969 Vasquez Flats Suite 844
Mcneilchester, IN 21947",522.744.0186x917,dmurphy@example.com,Jonathan Bell,Unknown
26,5,26,2023-01-02 02:00:00,1,13.138015527983772,East,Cash,False,Rainy,33.191940402678384,Good,Unknown,15,Online Order,Monday,13.138015527983772,Pizza Margherita,Micheal Dunn,"659 Hines Field
East Ashleybury, LA 29290",869-675-3202x452,olivia16@example.net,Phyllis Herman,Unknown
27,3,27,2023-01-02 03:00:00,5,17.926137423774428,East,Cash,True,Sunny,26.150356801126144,Average,Unknown,31,Phone Order,Monday,89.63068711887215,Carrot Cake,Misty Barrera,"2997 Breanna Plaza
Lake Samanthaburgh, IL 87257",738-460-9721x20310,vmoore@example.org,Bryan Beck,michael85@example.net
28,0,28,2023-01-02 04:00:00,1,13.854283144297396,West,Online,False,Sunny,27.229923765993007,Average,Positive,55,Phone Order,Monday,13.854283144297396,Vanilla Cake,Kelsey Cohen,"780 Martin Springs
East Cynthia, MT 32912",8032065419,matthewmartinez@example.com,Richard Stevenson,blackeugene@example.com
29,1,29,2023-01-02 05:00:00,5,8.394186623213477,North,Credit Card,True,Cloudy,21.05691016500437,Good,Negative,42,Phone Order,Monday,41.970933116067386,Red Velvet Cake,Katherine Mason,"54305 Hill Shoals
East Justinville, NJ 64488",(484)692-1660x57309,jcalderon@example.org,Timothy Dillon,omurray@example.com
30,6,30,2023-01-02 06:00:00,3,10.76359430206072,North,Online,True,Cloudy,24.172154606733663,Average,Positive,21,Phone Order,Monday,32.29078290618216,Pizza Beef Double decker,Christopher Jimenez,"2746 Thompson Burg Suite 466
Port Laurenview, MD 57695",6068589669,melaniechavez@example.com,Dr. John Guzman Jr.,allison40@example.com
31,5,31,2023-01-02 07:00:00,4,11.751850417728985,East,Cash,True,Rainy,27.154342182681738,Average,Neutral,23,Phone Order,Monday,47.00740167091593,Pizza Margherita,Amy Wilson,"589 Brianna Summit Suite 897
Leeland, MT 61948",419.298.2871,sgill@example.net,Tony Martinez,dwayne45@example.org
32,3,32,2023-01-02 08:00:00,3,13.688995307307902,West,Online,False,Rainy,34.1768367311733,Excellent,Positive,36,Phone Order,Monday,41.0669859219237,Carrot Cake,Megan Johnson,"68130 Shawn Lodge
Markland, HI 53529",971-245-4871x9717,josephtorres@example.com,Christine Vargas,tracy79@example.net
33,4,33,2023-01-02 09:00:00,2,16.390265386289194,South,Credit Card,False,Sunny,24.240010408117385,Poor,Negative,40,Online Order,Monday,32.78053077257839,Pizza Pepperoni,Benjamin Moore,"Unit 0770 Box 8337
DPO AA 36811",(838)530-8015,stephaniemaddox@example.org,Emily Williams,allenbradley@example.org
34,2,34,2023-01-02 10:00:00,1,6.483104264609532,South,Online,False,Rainy,26.91303102904478,Average,Negative,26,Online Order,Monday,6.483104264609532,Chocolate Cake,Kyle Hall,"2684 Kristina Brook
North Sydney, PR 86893",(679)680-2205x7218,mackdavid@example.net,Jackie Johnson,Unknown
35,0,35,2023-01-02 11:00:00,5,18.344780495263496,West,Credit Card,True,Sunny,30.0695663534642,Poor,Positive,21,In Store,Monday,91.72390247631748,Vanilla Cake,Samuel Mercado,"123 Gallagher Lights Suite 948
Kathyport, SD 78208",971-221-9934x29055,Unknown,Cassandra Mitchell,jeff80@example.org
36,8,36,2023-01-02 12:00:00,5,5.184645545241134,East,Credit Card,False,Cloudy,27.154342182681738,Good,Positive,29,Phone Order,Monday,25.923227726205667,Fruit Cake,Teresa Patel,"PSC 9512, Box 5441
APO AP 10986",+1-557-992-8706,jonathan93@example.com,Laura White,aaronschneider@example.net
37,4,37,2023-01-02 13:00:00,1,10.550785020113828,North,Cash,True,Rainy,27.29663580712812,Good,Positive,52,Online Order,Monday,10.550785020113828,Pizza Pepperoni,Ruth Irwin,"69917 Sullivan Brook Apt. 113
Reginabury, FM 59301",691.832.9638x493,wheelermichele@example.net,Courtney Gates,tarahamilton@example.net
38,2,38,2023-01-02 14:00:00,1,5.411304649589865,West,Cash,True,Cloudy,31.078085592138613,Average,Negative,35,Phone Order,Monday,5.411304649589865,Chocolate Cake,Justin Russo,"7201 Pope Fort
North Laurenside, RI 90302",(806)238-2527x74311,rwheeler@example.org,Diana Sanders,sweeneycorey@example.net
39,4,39,2023-01-02 15:00:00,2,10.894613380179369,South,Cash,True,Rainy,33.00282819540599,Good,Neutral,28,Phone Order,Monday,21.789226760358737,Pizza Pepperoni,Maria Tyler,"994 Kimberly Hill Suite 578
Christophertown, NY 63863",(505)296-4020x4743,Unknown,Michelle Ramirez,tyronecooke@example.org
40,1,40,2023-01-02 16:00:00,3,12.887188983099858,South,Credit Card,True,Sunny,29.3938891199364,Excellent,Unknown,16,Online Order,Monday,38.66156694929957,Red Velvet Cake,Kathy Potts,"3041 Matthew Summit
Makaylamouth, WY 80761",(489)884-6629,andersonsteven@example.com,Rebecca Barnes,mberg@example.org
41,5,41,2023-01-02 17:00:00,5,12.675220798722677,South,Online,True,Cloudy,30.035802729754217,Average,Neutral,22,Phone Order,Monday,63.37610399361338,Pizza Margherita,Jeffrey Wallace,"37834 Amanda Harbors Suite 544
Jonesport, KY 78476",852.761.7585x619,patrickfranklin@example.net,Emma Keller,jenniferwoodward@example.com
42,0,42,2023-01-02 18:00:00,2,7.48442520542398,East,Credit Card,True,Cloudy,27.154342182681738,Average,Negative,59,Online Order,Monday,14.96885041084796,Vanilla Cake,Tracy Taylor,"109 Wise Hills Apt. 063
North Alexisside, IA 60545",569-655-4045x76834,knightjoshua@example.com,Angela Roman,kimberlyharrington@example.com
43,7,43,2023-01-02 19:00:00,3,14.686107651434185,South,Cash,False,Rainy,34.186647458695205,Average,Positive,20,Online Order,Monday,44.05832295430256,Cheesecake,Willie Bell,"48031 Fuller Via
North Sean, ID 13025",+1-257-625-2972x773,williamrosario@example.org,Bryce Bernard,washingtonashley@example.com
44,5,44,2023-01-02 20:00:00,2,5.671676757570023,West,Cash,True,Cloudy,21.98861116226724,Good,Positive,51,In Store,Monday,11.343353515140048,Pizza Margherita,Timothy Gallagher,"67964 Brian Knoll Apt. 214
Rileyshire, MN 32485",001-827-458-8592,Unknown,Jerry Collins DDS,michellepeterson@example.com
45,7,45,2023-01-02 21:00:00,5,16.42860230198623,West,Online,False,Sunny,27.154342182681738,Good,Negative,51,In Store,Monday,82.14301150993116,Cheesecake,Dr. Kaitlyn Nguyen MD,"PSC 1269, Box 8741
APO AP 74383",(730)747-3474x2953,Unknown,Cynthia Carrillo,johnsonjohn@example.net
46,2,46,2023-01-02 22:00:00,1,19.1996665099032,South,Cash,True,Cloudy,23.972244826674785,Average,Positive,47,In Store,Monday,19.1996665099032,Chocolate Cake,Judith Brown,"4446 Mitchell Glens Suite 784
Port Michael, MI 24305",001-796-326-0144,mcbridegregory@example.org,Scott Moss,scalhoun@example.com
47,3,47,2023-01-02 23:00:00,1,10.096532407266768,West,Cash,False,Cloudy,34.00389715551877,Poor,Neutral,55,In Store,Monday,10.096532407266768,Carrot Cake,Holly Mooney,"24852 Maurice Views Apt. 255
North Connieland, SC 09318",892-609-7587x750,james44@example.com,Tammy Flores,todd17@example.org
48,8,48,2023-01-03 00:00:00,3,12.758590725714978,South,Cash,False,Rainy,30.799393090542196,Good,Negative,20,Phone Order,Tuesday,38.27577217714493,Fruit Cake,Christopher Miller,"49385 Erin Flats Suite 584
Barnesland, AK 15019",690-518-9867x63749,danielmartin@example.com,Christine Nunez,ocantu@example.com
49,6,49,2023-01-03 01:00:00,4,10.683654170882216,South,Online,False,Cloudy,31.30720569467553,Good,Negative,40,Phone Order,Tuesday,42.73461668352886,Pizza Beef Double decker,Michael Le,"59494 Brewer Cliff
Charlesville, MO 31287",001-934-813-2120x05852,vrivas@example.net,John Martin,michael70@example.org
50,5,50,2023-01-03 02:00:00,3,5.100655854560899,North,Credit Card,False,Rainy,23.28588759589825,Average,Positive,53,In Store,Tuesday,15.301967563682698,Pizza Margherita,Rachel Smith,"USNS Ray
FPO AE 70448",620.240.2397x019,brandon35@example.net,Phillip Hernandez,Unknown
51,0,51,2023-01-03 03:00:00,4,10.78811754342674,East,Cash,True,Rainy,26.64559964952741,Poor,Negative,55,Online Order,Tuesday,43.15247017370696,Vanilla Cake,Ashley Perry,"467 Sean Stravenue
Angelton, AS 09379",(795)222-3331,jonathonrogers@example.com,Leslie Stone,terrysean@example.net
52,4,52,2023-01-03 04:00:00,2,16.875803888920196,East,Online,True,Cloudy,29.26719791883929,Average,Positive,51,Online Order,Tuesday,33.75160777784039,Pizza Pepperoni,Kelly Cortez,"1882 Ryan Springs
East Kaylaport, DE 59530",+1-620-664-4725x2727,kristin81@example.org,Jason Eaton,qgriffin@example.org
53,0,53,2023-01-03 05:00:00,2,13.939832632752228,North,Cash,True,Sunny,27.154342182681738,Good,Positive,28,Online Order,Tuesday,27.879665265504453,Vanilla Cake,Lindsey Nunez,"4424 Rosario Plain Suite 110
Williamsside, DE 85954",(369)207-7494x5580,melissafitzpatrick@example.net,Sheila Williams,Unknown
54,2,54,2023-01-03 06:00:00,5,6.518898719227384,North,Online,True,Rainy,21.559390638685844,Average,Negative,51,Online Order,Tuesday,32.594493596136914,Chocolate Cake,Michael Baker,"1785 Laura Brooks
Kellerchester, AS 77756",(812)912-8173,jwilliams@example.net,Jonathan Johnson,andrew87@example.net
55,7,55,2023-01-03 07:00:00,4,17.707092345406778,East,Cash,False,Cloudy,34.435479746817926,Average,Positive,22,Phone Order,Tuesday,70.82836938162711,Cheesecake,Colleen Acevedo,"21128 Nelson Hollow
Port Taylorberg, OH 59125",001-844-457-5691x4284,longamy@example.net,Alexandra Wilson,heatherchang@example.net
56,4,56,2023-01-03 08:00:00,5,12.966280173278642,South,Online,False,Rainy,33.35331005831834,Average,Unknown,53,Online Order,Tuesday,64.83140086639321,Pizza Pepperoni,Andrea Martin DDS,"185 Robertson Pike
New Travis, MI 93092",9563352820,jessicawilson@example.net,John Fowler,hallstephanie@example.org
57,6,57,2023-01-03 09:00:00,1,17.62585042617014,South,Cash,False,Sunny,27.154342182681738,Poor,Neutral,27,Online Order,Tuesday,17.62585042617014,Pizza Beef Double decker,Brian Perez,"07888 Jennifer Forks
Port Steventown, TX 96919",934-778-8708x87126,jharris@example.org,Scott Jimenez,luceroscott@example.org
58,6,58,2023-01-03 10:00:00,4,13.70332278177544,East,Credit Card,True,Sunny,32.34140364548498,Average,Positive,27,In Store,Tuesday,54.81329112710176,Pizza Beef Double decker,Steven Booth,"PSC 2047, Box 5184
APO AA 44580",209.698.4896x821,ltorres@example.net,Bethany Hudson,jonathan04@example.com
59,5,59,2023-01-03 11:00:00,3,13.395326672569098,South,Cash,False,Rainy,27.154342182681738,Good,Unknown,54,Online Order,Tuesday,40.185980017707294,Pizza Margherita,Jacob Reese,"98995 Ricardo Fall
Port Joanna, GU 81575",653.693.0349,debra51@example.com,Holly Lara,wrightkelly@example.net
60,2,60,2023-01-03 12:00:00,1,6.5788877779551855,North,Online,True,Sunny,26.92709722343028,Average,Positive,57,Phone Order,Tuesday,6.5788877779551855,Chocolate Cake,Charles Brooks,"045 Dominguez Plains
New Dannyshire, NM 07653",7094235871,normandavid@example.com,Tanya Kane,blevinstravis@example.net
61,3,61,2023-01-03 13:00:00,1,7.510395997079419,South,Cash,False,Cloudy,24.71651158717108,Poor,Neutral,42,Online Order,Tuesday,7.510395997079419,Carrot Cake,Amy Jones,"5589 Garcia Shore Suite 378
Lake Aprilborough, NH 14688",855.319.7228,esmith@example.net,Alexander Anderson,jamesedwards@example.com
62,2,62,2023-01-03 14:00:00,3,19.580378847448863,South,Credit Card,False,Cloudy,28.71452879947389,Excellent,Negative,32,Online Order,Tuesday,58.7411365423466,Chocolate Cake,Patrick Perez,"06163 Perkins Knoll Apt. 675
Kimberlyside, LA 89645",974-921-3029,bolson@example.net,Jennifer Harrison,nlee@example.com
63,7,63,2023-01-03 15:00:00,1,8.427301201321562,West,Cash,False,Rainy,27.154342182681738,Poor,Positive,33,Phone Order,Tuesday,8.427301201321562,Cheesecake,Nicholas Contreras,"PSC 1540, Box 6723
APO AE 70127",8287860258,john56@example.net,Keith Briggs,william16@example.net
64,0,64,2023-01-03 16:00:00,4,19.66178176985552,West,Online,False,Sunny,26.16399357444137,Average,Positive,52,In Store,Tuesday,78.64712707942208,Vanilla Cake,Matthew Waller,"54562 Heather Shoal Suite 206
Longtown, CO 12775",558-487-5534x893,amyfigueroa@example.org,Brandon Dunn,sriddle@example.net
65,6,65,2023-01-03 17:00:00,5,12.97869059786395,West,Online,False,Cloudy,29.438287895124382,Excellent,Positive,46,Phone Order,Tuesday,64.89345298931975,Pizza Beef Double decker,Barbara Rubio,"USNV Parsons
FPO AP 51888",(402)353-5570,jensenkathleen@example.net,Catherine Johnson,tmason@example.org
66,0,66,2023-01-03 18:00:00,1,7.0368357059590565,South,Credit Card,True,Cloudy,30.48969381732956,Average,Positive,36,In Store,Tuesday,7.0368357059590565,Vanilla Cake,Kenneth Mccoy,"0708 Joseph Hollow Apt. 766
Johnsview, VI 73821",(351)808-8894,aprilmueller@example.org,Kimberly Russell,jennifer08@example.net
67,0,67,2023-01-03 19:00:00,4,6.489533041305394,East,Online,False,Cloudy,30.66682725522929,Poor,Unknown,16,Online Order,Tuesday,25.958132165221578,Vanilla Cake,Stephanie Jenkins,"4660 Mathis Ranch
West Michaelborough, VT 81196",+1-658-405-9397,troy51@example.org,Travis Hogan,Unknown
68,0,68,2023-01-03 20:00:00,2,8.1329610605861,North,Cash,True,Rainy,20.779491471967702,Excellent,Positive,27,In Store,Tuesday,16.2659221211722,Vanilla Cake,Thomas Lane,"3553 Julie Summit
East Candicemouth, MS 46067",547-698-4124,rogersjorge@example.com,Wesley Christian,judithvega@example.org
69,6,69,2023-01-03 21:00:00,4,18.88455995038004,South,Cash,True,Rainy,27.154342182681738,Excellent,Negative,37,In Store,Tuesday,75.53823980152015,Pizza Beef Double decker,Alexandra King,"592 Mcmillan Wells Suite 719
North Rebecca, OR 73861",316.467.3052x4891,jessicajones@example.net,Sarah Greer,lindajohnson@example.org
70,1,70,2023-01-03 22:00:00,5,11.212253364923402,East,Cash,True,Cloudy,26.87379972147572,Average,Negative,39,In Store,Tuesday,56.06126682461701,Red Velvet Cake,Lauren Gonzalez,"2704 Bob Orchard Apt. 418
Billytown, NM 40830",(943)642-6788,james34@example.net,Jason Baker,lindseygarner@example.org
71,7,71,2023-01-03 23:00:00,4,10.931514019893717,South,Online,True,Cloudy,23.93624122544322,Average,Neutral,42,Online Order,Tuesday,43.72605607957486,Cheesecake,Lauren Bond,"582 Sampson Gateway Apt. 754
Patrickbury, FL 95473",(905)713-5586,zhall@example.net,Andrea Green,michaela48@example.org
72,7,72,2023-01-04 00:00:00,3,9.69809391605261,North,Cash,True,Sunny,23.626467612195224,Poor,Positive,25,In Store,Wednesday,29.09428174815783,Cheesecake,Elizabeth Scott,"8863 Tony Lake Suite 057
Lake David, FM 76570",611-582-0116x9700,dustingolden@example.net,Todd Williams,amanda40@example.net
73,4,73,2023-01-04 01:00:00,5,7.2059277584988255,South,Cash,True,Sunny,27.245211692659257,Average,Neutral,47,In Store,Wednesday,36.029638792494126,Pizza Pepperoni,Judith Hall,"27670 Rice Gardens Suite 182
Jocelynfort, WA 03760",001-747-593-5449,clinton68@example.net,Sara Ferguson,marcus87@example.com
74,2,74,2023-01-04 02:00:00,2,12.317767957886096,North,Cash,True,Sunny,33.30247309203439,Excellent,Neutral,38,Online Order,Wednesday,24.635535915772195,Chocolate Cake,Kathryn Jones,"464 Pamela Row Suite 212
West Yolanda, AZ 45755",414.937.9555x9744,andrew17@example.net,Breanna Bowen,bcarter@example.net
75,2,75,2023-01-04 03:00:00,3,6.95071673766708,South,Credit Card,True,Rainy,25.675213725239704,Good,Unknown,16,Phone Order,Wednesday,20.85215021300124,Chocolate Cake,Michael Johnson,"01968 Rogers Mills Apt. 230
Phamside, CO 85999",375.202.1858,michael71@example.net,Denise Nichols,Unknown
76,8,76,2023-01-04 04:00:00,4,17.532203545734916,North,Online,False,Cloudy,31.24588620175315,Good,Neutral,44,Phone Order,Wednesday,70.12881418293966,Fruit Cake,Amanda Freeman,"94352 Hannah Row
Ralphtown, KS 42976",747.307.2925,josephstevenson@example.com,Kyle Gutierrez,coxconnie@example.net
77,2,77,2023-01-04 05:00:00,5,10.555954794129596,South,Online,False,Rainy,21.45228096480828,Poor,Negative,31,Phone Order,Wednesday,52.77977397064799,Chocolate Cake,Thomas Harris,"Unit 9421 Box 2570
DPO AP 28305",001-936-202-5871x21641,Unknown,Amanda Jones,cynthiacarson@example.com
78,6,78,2023-01-04 06:00:00,2,10.622053516726943,North,Online,True,Cloudy,27.14085053226593,Average,Neutral,54,Online Order,Wednesday,21.24410703345389,Pizza Beef Double decker,Jordan Brown,"35015 Barnes Ville Suite 109
Lake Michelle, IN 02641",595.632.5703x77271,patrickpadilla@example.net,Laura Smith,jenniferpeterson@example.org
79,3,79,2023-01-04 07:00:00,3,12.110096427247338,West,Credit Card,True,Sunny,34.875292105891035,Poor,Positive,48,Online Order,Wednesday,36.33028928174201,Carrot Cake,Andrew Moore,"7070 Hendrix Circle
Marymouth, PA 22887",5186677437,Unknown,Jessica Booth,michellecannon@example.net
80,5,80,2023-01-04 08:00:00,2,11.661915697486275,South,Online,True,Sunny,31.556567041885053,Good,Neutral,52,Phone Order,Wednesday,23.32383139497255,Pizza Margherita,James Coleman,"556 Reyes Circle Suite 673
South Felicia, AS 51653",877.657.1496x5529,robertfischer@example.org,Justin Lambert,vlucas@example.net
81,8,81,2023-01-04 09:00:00,4,19.92286959588982,South,Credit Card,False,Sunny,23.157927326609197,Good,Negative,36,In Store,Wednesday,79.69147838355929,Fruit Cake,Jason Benson,"57914 Dillon Fields
Lindseyshire, SC 15624",951-644-9723x4934,jeremymiller@example.org,Kendra Olson,melissa72@example.com
82,5,82,2023-01-04 10:00:00,2,13.180716818274538,East,Credit Card,False,Sunny,27.52162210546866,Average,Negative,19,Phone Order,Wednesday,26.36143363654908,Pizza Margherita,Shelia Mueller,"PSC 4153, Box 2921
APO AP 27510",+1-839-985-4056x57671,claire33@example.net,Laurie Young,frankbarton@example.org
83,7,83,2023-01-04 11:00:00,1,6.3230255568480604,East,Online,True,Cloudy,23.5043714547285,Excellent,Negative,54,Online Order,Wednesday,6.3230255568480604,Cheesecake,Melissa Pope,"04025 Allison Springs
Lake Karen, AK 72462",970-577-5475x971,nlong@example.org,Amy Roberts,Unknown
84,5,84,2023-01-04 12:00:00,3,14.10316012365395,North,Cash,True,Sunny,26.14341390893764,Average,Neutral,30,In Store,Wednesday,42.30948037096185,Pizza Margherita,Anthony Meyer,"51060 Walter Ranch Suite 459
Lake Amandaton, LA 50037",001-276-801-8226x91948,xyoung@example.net,Sheri Mathews,heather17@example.com
